N,Sq Length,input clx,GRms,GErrorRms,G clx,G Error clx,G clx,G Error clx,G Area,Gerror Area,input cly,Rms,Error Rms,clx,Error clx,cly,Error cly,Area,Error Area,Skewness,Error Sk,Kurtosis,Error Ku
600,8,0.36,1,0,1,0,1,0,1,0,0.31,0.034014,0,0.29191,0,0.35548,0,67.422,0,0.4488,0,1.4985,0
600,8,0.31,1,0,1,0,1,0,1,0,0.11,0.0040035,0,0.11056,0,0.32493,0,64.155,0,-0.60533,0,7.449,0
600,8,0.21,1,0,1,0,1,0,1,0,0.21,0.0039998,0,0.22242,0,0.22079,0,64.076,0,-1.2009,0,5.4817,0
600,8,0.06,1,0,1,0,1,0,1,0,0.06,0.0040034,0,0.063303,0,0.0625,0,64.609,0,-0.70796,0,5.5489,0
600,8,0.31,1,0,1,0,1,0,1,0,0.36,0.053954,0,0.34506,0,0.33861,0,69.933,0,-0.4419,0,5.5264,0
600,8,0.16,1,0,1,0,1,0,1,0,0.11,0.0039963,0,0.088553,0,0.1328,0,64.323,0,-2.3467,0,7.4834,0
600,8,0.31,1,0,1,0,1,0,1,0,0.36,0.0039758,0,0.35123,0,0.34561,0,64.039,0,-1.5899,0,7.5613,0
600,8,0.26,1,0,1,0,1,0,1,0,0.06,0.004013,0,0.06504,0,0.26524,0,64.34,0,0.66445,0,7.4294,0
600,8,0.36,1,0,1,0,1,0,1,0,0.16,0.043974,0,0.14658,0,0.35664,0,72.855,0,1.5531,0,5.5165,0
600,8,0.11,1,0,1,0,1,0,1,0,0.31,0.044047,0,0.30409,0,0.10913,0,77.9,0,0.62412,0,7.5146,0
600,8,0.26,1,0,1,0,1,0,1,0,0.16,0.013984,0,0.13822,0,0.23751,0,65.409,0,-2.0982,0,7.4908,0
600,8,0.16,1,0,1,0,1,0,1,0,0.26,0.024032,0,0.23269,0,0.14424,0,67.998,0,1.8032,0,5.5115,0
600,8,0.11,1,0,1,0,1,0,1,0,0.11,0.014005,0,0.11195,0,0.11672,0,66.893,0,-0.94422,0,3.4822,0
600,8,0.06,1,0,1,0,1,0,1,0,0.21,0.014009,0,0.21118,0,0.063433,0,67.964,0,0.91617,0,7.4918,0
600,8,0.16,1,0,1,0,1,0,1,0,0.16,0.033969,0,0.16862,0,0.17052,0,72.104,0,0.30617,0,3.51,0
600,8,0.31,1,0,1,0,1,0,1,0,0.31,0.033893,0,0.28036,0,0.30846,0,67.737,0,-1.4609,0,3.535,0
600,8,0.31,1,0,1,0,1,0,1,0,0.31,0.054106,0,0.33394,0,0.29026,0,71.169,0,-0.85854,0,7.5406,0
600,8,0.36,1,0,1,0,1,0,1,0,0.06,0.023985,0,0.066298,0,0.35611,0,73.583,0,0.30432,0,5.5695,0
600,8,0.06,1,0,1,0,1,0,1,0,0.31,0.034062,0,0.23901,0,0.049972,0,82.998,0,-2.3445,0,7.4702,0
600,8,0.36,1,0,1,0,1,0,1,0,0.21,0.044084,0,0.17008,0,0.32164,0,71.688,0,-2.0938,0,7.4536,0
600,8,0.31,1,0,1,0,1,0,1,0,0.16,0.0039894,0,0.15156,0,0.31227,0,64.106,0,1.3055,0,3.5196,0
600,8,0.36,1,0,1,0,1,0,1,0,0.11,0.0039971,0,0.10641,0,0.33793,0,64.166,0,1.5518,0,5.5147,0
600,8,0.31,1,0,1,0,1,0,1,0,0.31,0.0040049,0,0.3063,0,0.2946,0,64.047,0,0.034629,0,5.4714,0
