N,Sq Length,input clx,GRms,GErrorRms,G clx,G Error clx,G clx,G Error clx,G Area,Gerror Area,input cly,Rms,Error Rms,clx,Error clx,cly,Error cly,Area,Error Area,Skewness,Error Sk,Kurtosis,Error Ku
600,8,0.16021,1,0,1,0,1,0,1,0,0.15349,0.027366,0,0.1591,0,0.16603,0,69.716,0,0.96267,0,6.0311,0
600,8,0.28475,1,0,1,0,1,0,1,0,0.35613,0.021799,0,0.39762,0,0.30373,0,65.107,0,0.60463,0,7.1552,0
600,8,0.094239,1,0,1,0,1,0,1,0,0.13644,0.015987,0,0.13314,0,0.096434,0,67.889,0,1.2406,0,4.3079,0
600,8,0.27936,1,0,1,0,1,0,1,0,0.29314,0.0050964,0,0.3061,0,0.31377,0,64.071,0,0.10459,0,2.187,0
600,8,0.18325,1,0,1,0,1,0,1,0,0.15953,0.036892,0,0.17017,0,0.18638,0,72.769,0,-0.15815,0,9.1144,0
600,8,0.16104,1,0,1,0,1,0,1,0,0.1028,0.07305,0,0.11306,0,0.16613,0,105.22,0,0.77065,0,3.8654,0
600,8,0.15988,1,0,1,0,1,0,1,0,0.19761,0.066817,0,0.1811,0,0.14627,0,88.152,0,1.6327,0,4.5799,0
600,8,0.092011,1,0,1,0,1,0,1,0,0.24334,0.058499,0,0.24853,0,0.10133,0,92.216,0,-0.55378,0,3.3374,0
600,8,0.064747,1,0,1,0,1,0,1,0,0.15764,0.013269,0,0.16364,0,0.065395,0,67.664,0,0.69474,0,6.947,0
600,8,0.23748,1,0,1,0,1,0,1,0,0.30174,0.044809,0,0.31407,0,0.24845,0,69.969,0,0.34779,0,8.6723,0
600,8,0.19951,1,0,1,0,1,0,1,0,0.27338,0.053456,0,0.27775,0,0.1998,0,74.808,0,-1.0709,0,9.1066,0
600,8,0.12934,1,0,1,0,1,0,1,0,0.14604,0.041891,0,0.15431,0,0.14179,0,78.961,0,0.11639,0,4.8907,0
600,8,0.13778,1,0,1,0,1,0,1,0,0.27879,0.03155,0,0.28138,0,0.14167,0,70.251,0,0.61087,0,3.6632,0
600,8,0.28518,1,0,1,0,1,0,1,0,0.25159,0.037117,0,0.25559,0,0.25938,0,68.917,0,-1.6798,0,5.7294,0
600,8,0.099218,1,0,1,0,1,0,1,0,0.11847,0.042349,0,0.12273,0,0.10702,0,84.779,0,-0.77584,0,9.4056,0
600,8,0.20156,1,0,1,0,1,0,1,0,0.10722,0.035898,0,0.10354,0,0.18951,0,77.359,0,0.59424,0,1.8816,0
